model_id,print_name,placement,role,decision_mechanism,n,true_positive,true_negative,false_positive,false_negative,accuracy,sensitivity,specificity,ppv,npv,f1,mcnemar_exact_p_value,holm_adjusted_mcnemar_p_value,mcnemar_proposed_only_correct,mcnemar_comparator_only_correct,mcnemar_discordant
proposed_framework,Proposed framework,main,proposed,training-only boundary-aware routing,119,48,42,12,17,0.7563025210084033,0.7384615384615385,0.7777777777777778,0.8,0.711864406779661,0.768,,,,,
proposed_framework_youden,Proposed framework (fold-local Youden),main,proposed_matched_operating_point,fold-local inner out-of-fold Youden threshold,119,46,42,12,19,0.7394957983193278,0.7076923076923077,0.7777777777777778,0.7931034482758621,0.6885245901639344,0.7479674796747967,,,,,
conventional_logistic_c1,Logistic regression,main,comparator,fold-local inner out-of-fold Youden threshold,119,42,33,21,23,0.6302521008403361,0.6461538461538462,0.6111111111111112,0.6666666666666666,0.5892857142857143,0.65625,0.002599477767944336,0.005198955535888672,19.0,4.0,23.0
random_forest,Random forest,main,comparator,fold-local inner out-of-fold Youden threshold,119,42,32,22,23,0.6218487394957983,0.6461538461538462,0.5925925925925926,0.65625,0.5818181818181818,0.6511627906976746,0.0070003666914999485,0.0070003666914999485,24.0,8.0,32.0
rbf_svm,Support vector machine (RBF kernel),main,comparator,fold-local inner out-of-fold Youden threshold,119,36,37,17,29,0.6134453781512605,0.5538461538461539,0.6851851851851852,0.6792452830188679,0.5606060606060606,0.6101694915254237,0.0015137195587158203,0.004541158676147461,22.0,5.0,27.0
lightgbm,LightGBM,main,comparator,fold-local inner out-of-fold Youden threshold,119,36,32,22,29,0.5714285714285714,0.5538461538461539,0.5925925925925926,0.6206896551724138,0.5245901639344263,0.5853658536585366,0.00019512558355927467,0.0009756279177963734,28.0,6.0,34.0
xgboost,XGBoost,main,comparator,fold-local inner out-of-fold Youden threshold,119,43,25,29,22,0.5714285714285714,0.6615384615384615,0.46296296296296297,0.5972222222222222,0.5319148936170213,0.6277372262773723,0.00019512558355927467,0.0009756279177963734,28.0,6.0,34.0
