model_id,print_name,placement,stratum,stratum_status,auroc,n,true_positive,true_negative,false_positive,false_negative,accuracy,sensitivity,specificity,ppv,npv,f1
proposed_framework,Proposed framework,main,observed EASI improvement 65 to <85,"retrospective: defined by the observed outcome, not identifiable from baseline information",0.7990297990297991,76,26,30,9,11,0.7368421052631579,0.7027027027027027,0.7692307692307693,0.7428571428571429,0.7317073170731707,0.7222222222222223
conventional_logistic_c1,Logistic regression,main,observed EASI improvement 65 to <85,"retrospective: defined by the observed outcome, not identifiable from baseline information",0.7207207207207207,76,22,23,16,15,0.5921052631578947,0.5945945945945946,0.5897435897435898,0.5789473684210527,0.6052631578947368,0.5866666666666667
random_forest,Random forest,main,observed EASI improvement 65 to <85,"retrospective: defined by the observed outcome, not identifiable from baseline information",0.6327096327096328,76,21,23,16,16,0.5789473684210527,0.5675675675675675,0.5897435897435898,0.5675675675675675,0.5897435897435898,0.5675675675675675
rbf_svm,Support vector machine (RBF kernel),main,observed EASI improvement 65 to <85,"retrospective: defined by the observed outcome, not identifiable from baseline information",0.6292446292446293,76,19,25,14,18,0.5789473684210527,0.5135135135135135,0.6410256410256411,0.5757575757575758,0.5813953488372093,0.5428571428571428
lightgbm,LightGBM,main,observed EASI improvement 65 to <85,"retrospective: defined by the observed outcome, not identifiable from baseline information",0.5835065835065835,76,18,23,16,19,0.5394736842105263,0.4864864864864865,0.5897435897435898,0.5294117647058824,0.5476190476190477,0.5070422535211269
xgboost,XGBoost,main,observed EASI improvement 65 to <85,"retrospective: defined by the observed outcome, not identifiable from baseline information",0.5495495495495496,76,23,16,23,14,0.5131578947368421,0.6216216216216216,0.41025641025641024,0.5,0.5333333333333333,0.5542168674698795
