estimate,print_name,n,brier,expected_calibration_error,calibration_slope,calibration_slope_ci_low,calibration_slope_ci_high,calibration_intercept,calibration_intercept_ci_low,calibration_intercept_ci_high,mean_predicted,observed_rate,calibration_in_the_large,hl_groups,hl_hosmer_lemeshow_chi2,hl_degrees_of_freedom,hl_p_value,hl_degrees_of_freedom_unfitted,hl_p_value_unfitted,hl5_groups,hl5_hosmer_lemeshow_chi2,hl5_degrees_of_freedom,hl5_p_value,hl5_degrees_of_freedom_unfitted,hl5_p_value_unfitted
raw_score,"Response score, as produced",119,0.17262927583023224,0.060937755686467004,1.0616480934608803,0.7449612508944912,1.5368296497468932,0.2852257158122998,-0.18276644342280882,0.7743472270508351,0.4983105742296919,0.5462184873949579,-0.04790791316526605,10,18.892417046710662,8,0.015445711527660572,10,0.04165061926463263,5,6.713134779753328,3,0.08162552168266629,5,0.24286380332709015
platt,After logistic recalibration,119,0.17837564316343751,0.06742756134483041,1.4951330785466126,1.0320022031574172,2.1356817897550875,-0.03473832252211319,-0.5262854919865846,0.42803276044399735,0.542308102762662,0.5462184873949579,-0.003910384632295982,10,12.745859417389656,8,0.12089809794110257,10,0.2382302579358645,5,6.237860344631327,3,0.1005941602399346,5,0.2837573147771548
isotonic,After isotonic recalibration,119,0.17241575936159742,0.04750035841757724,1.3282734009678068,0.9244415673191262,1.975478193151548,-0.06298067940873894,-0.5591551324516256,0.4131490069688334,0.5505781689444259,0.5462184873949579,0.004359681549467975,10,5.276307403731655,8,0.727676944797557,10,0.8719726951607608,5,3.5272237316230233,3,0.31724842092875577,5,0.619272394430541
