model_id,print_name,placement,role,auroc,auroc_ci_low,auroc_ci_high,auroc_difference_vs_proposed,difference_ci_low,difference_ci_high,delong_p_value,bootstrap_ci_low,bootstrap_ci_high,holm_adjusted_delong_p_value,delong_standard_error,delong_z
proposed_framework,Proposed framework,main,proposed,0.823931623931624,0.7466084100639259,0.8917478569560338,,,,,,,,,
conventional_logistic_c1,Logistic regression,main,comparator,0.7626780626780627,0.6732612328582496,0.8430013519359724,0.061253561253561184,0.013865308432371323,0.11051143991854666,0.011847657718733725,0.013865308432371323,0.11051143991854666,0.011847657718733725,0.024339328066010996,2.516649641577394
random_forest,Random forest,main,comparator,0.6581196581196582,0.5554586996140651,0.7558631271440822,0.1658119658119659,0.09471790285429821,0.2416766024106871,7.137213296125627e-06,0.09471790285429821,0.2416766024106871,2.141163988837688e-05,0.036932829082682826,4.4895549550443805
rbf_svm,Support vector machine (RBF kernel),main,comparator,0.6854700854700855,0.5867699323532791,0.7801136363636364,0.1384615384615384,0.07554654975928553,0.2052173913043479,3.309113675338967e-05,0.07554654975928553,0.2052173913043479,6.618227350677934e-05,0.03335555289366628,4.151079099271359
lightgbm,LightGBM,main,comparator,0.6247863247863249,0.5209154762018824,0.7257080229898538,0.1991452991452991,0.1231297406410571,0.2794894894894895,4.2248916202086957e-07,0.1231297406410571,0.2794894894894895,1.6899566480834783e-06,0.03936817465392857,5.058535248228134
xgboost,XGBoost,main,comparator,0.5792022792022793,0.4712236982601596,0.6827690450154913,0.24472934472934482,0.1613636363636365,0.3306975914823073,1.286195004284105e-08,0.1613636363636365,0.3306975914823073,6.430975021420525e-08,0.043026393776276914,5.687888834045839
